website	simple_url	complex_url	simple_level	complex_level	simple_location_html	complex_location_html	simple_location_txt	complex_location_txt	alignment_location	simple_author	complex_author	simple_title	complex_title	license	last_access	simple_location_txt_par	complex_location_txt_par
stadt_hamburg	https://www.hamburg.de/barrierefrei/leichte-sprache/freizeit/15723834/das-ist-hamburg/		A1	C2	data/stadt_hamburg/only_simple_html/simple_0.html		data/stadt_hamburg/only_simple_txt/simple_0.txt					Leichte Sprache: Das ist Hamburg - hamburg.de		copyright reserved. dpa prohibited	2022-08-23	data/stadt_hamburg/only_simple_txt_par/simple_0.txt_par	
stadt_hamburg	https://www.hamburg.de/barrierefrei/leichte-sprache/freizeit/15691074/der-elbstrand/		A1	C2	data/stadt_hamburg/only_simple_html/simple_1.html		data/stadt_hamburg/only_simple_txt/simple_1.txt					Leichte Sprache: Der Elbstrand - hamburg.de		copyright reserved. dpa prohibited	2022-08-23	data/stadt_hamburg/only_simple_txt_par/simple_1.txt_par	
stadt_hamburg	https://www.hamburg.de/barrierefrei/leichte-sprache/freizeit/15691074/der-elbstrand/		A1	C2	data/stadt_hamburg/only_simple_html/simple_2.html		data/stadt_hamburg/only_simple_txt/simple_2.txt					Leichte Sprache: Der Elbstrand - hamburg.de		copyright reserved. dpa prohibited	2022-08-23	data/stadt_hamburg/only_simple_txt_par/simple_2.txt_par	
stadt_hamburg	https://www.hamburg.de/barrierefrei/leichte-sprache/freizeit/13413510/der-hafen-geburtstag/	https://www.hamburg.de/hafengeburtstag/15637004/hafengeburtstag-2022-vorschau/	A1	C2	data/stadt_hamburg/html/simple_3.html	data/stadt_hamburg/html/complex_3.html	data/stadt_hamburg/txt/simple_3.txt	data/stadt_hamburg/txt/complex_3.txt				Leichte Sprache: Der Hafen-Geburtstag - hamburg.de	Prüfung einer Verlegung in den Spätsommer - hamburg.de	copyright reserved. dpa prohibited	2022-08-23	data/stadt_hamburg/txt_par/simple_3.txt_par	data/stadt_hamburg/txt_par/complex_3.txt_par
stadt_hamburg	https://www.hamburg.de/barrierefrei/leichte-sprache/freizeit/13413510/der-hafen-geburtstag/	https://www.hamburg.de/hafengeburtstag/15637004/hafengeburtstag-2022-vorschau/	A1	C2	data/stadt_hamburg/html/simple_4.html	data/stadt_hamburg/html/complex_4.html	data/stadt_hamburg/txt/simple_4.txt	data/stadt_hamburg/txt/complex_4.txt				Leichte Sprache: Der Hafen-Geburtstag - hamburg.de	Prüfung einer Verlegung in den Spätsommer - hamburg.de	copyright reserved. dpa prohibited	2022-08-23	data/stadt_hamburg/txt_par/simple_4.txt_par	data/stadt_hamburg/txt_par/complex_4.txt_par
stadt_hamburg	https://www.hamburg.de/barrierefrei/leichte-sprache/freizeit/13413402/der-hamburger-dom/	https://www.hamburg.de/dom/2611800/aktuelles-hamburger-dom/	A1	C2	data/stadt_hamburg/html/simple_5.html	data/stadt_hamburg/html/complex_5.html	data/stadt_hamburg/txt/simple_5.txt	data/stadt_hamburg/txt/complex_5.txt				Leichte Sprache: Hamburger Dom - hamburg.de	Hamburger DOM - hamburg.de	copyright reserved. dpa prohibited	2022-08-23	data/stadt_hamburg/txt_par/simple_5.txt_par	data/stadt_hamburg/txt_par/complex_5.txt_par
stadt_hamburg	https://www.hamburg.de/barrierefrei/leichte-sprache/freizeit/13413402/der-hamburger-dom/	https://www.hamburg.de/dom/2611800/aktuelles-hamburger-dom/	A1	C2	data/stadt_hamburg/html/simple_6.html	data/stadt_hamburg/html/complex_6.html	data/stadt_hamburg/txt/simple_6.txt	data/stadt_hamburg/txt/complex_6.txt				Leichte Sprache: Hamburger Dom - hamburg.de	Hamburger DOM - hamburg.de	copyright reserved. dpa prohibited	2022-08-23	data/stadt_hamburg/txt_par/simple_6.txt_par	data/stadt_hamburg/txt_par/complex_6.txt_par
stadt_hamburg	https://www.hamburg.de/barrierefrei/leichte-sprache/freizeit/13413498/paddeln-auf-alster-fluessen-kanaelen-und-fleeten/		A1	C2	data/stadt_hamburg/only_simple_html/simple_7.html		data/stadt_hamburg/only_simple_txt/simple_7.txt					Leichte Sprache: Paddeln auf Alster, Flüssen, Kanälen und Fleeten - hamburg.de		copyright reserved. dpa prohibited	2022-08-23	data/stadt_hamburg/only_simple_txt_par/simple_7.txt_par	
stadt_hamburg	https://www.hamburg.de/barrierefrei/leichte-sprache/freizeit/13413498/paddeln-auf-alster-fluessen-kanaelen-und-fleeten/		A1	C2	data/stadt_hamburg/only_simple_html/simple_8.html		data/stadt_hamburg/only_simple_txt/simple_8.txt					Leichte Sprache: Paddeln auf Alster, Flüssen, Kanälen und Fleeten - hamburg.de		copyright reserved. dpa prohibited	2022-08-23	data/stadt_hamburg/only_simple_txt_par/simple_8.txt_par	
stadt_hamburg	https://www.hamburg.de/barrierefrei/leichte-sprache/freizeit/13413400/schiff-fahren-im-hafen-von-hamburg/		A1	C2	data/stadt_hamburg/only_simple_html/simple_9.html		data/stadt_hamburg/only_simple_txt/simple_9.txt					Leichte Sprache: Schiff-Fahren im Hafen von Hamburg - hamburg.de		copyright reserved. dpa prohibited	2022-08-23	data/stadt_hamburg/only_simple_txt_par/simple_9.txt_par	
stadt_hamburg	https://www.hamburg.de/barrierefrei/leichte-sprache/freizeit/13413400/schiff-fahren-im-hafen-von-hamburg/		A1	C2	data/stadt_hamburg/only_simple_html/simple_10.html		data/stadt_hamburg/only_simple_txt/simple_10.txt					Leichte Sprache: Schiff-Fahren im Hafen von Hamburg - hamburg.de		copyright reserved. dpa prohibited	2022-08-23	data/stadt_hamburg/only_simple_txt_par/simple_10.txt_par	
stadt_hamburg	https://www.hamburg.de/barrierefrei/leichte-sprache/freizeit/15627830/reeperbahn/	https://www.hamburg.de/hamburger-reeperbahn/	A1	C2	data/stadt_hamburg/html/simple_11.html	data/stadt_hamburg/html/complex_11.html	data/stadt_hamburg/txt/simple_11.txt	data/stadt_hamburg/txt/complex_11.txt				Die Reeper-Bahn - Leichte Sprache Artikel - hamburg.de	Hamburger Reeperbahn - Adresse, Bilder, Informationen - hamburg.de	copyright reserved. dpa prohibited	2022-08-23	data/stadt_hamburg/txt_par/simple_11.txt_par	data/stadt_hamburg/txt_par/complex_11.txt_par
stadt_hamburg	https://www.hamburg.de/barrierefrei/leichte-sprache/freizeit/15627830/reeperbahn/	https://www.hamburg.de/hamburger-reeperbahn/	A1	C2	data/stadt_hamburg/html/simple_12.html	data/stadt_hamburg/html/complex_12.html	data/stadt_hamburg/txt/simple_12.txt	data/stadt_hamburg/txt/complex_12.txt				Die Reeper-Bahn - Leichte Sprache Artikel - hamburg.de	Hamburger Reeperbahn - Adresse, Bilder, Informationen - hamburg.de	copyright reserved. dpa prohibited	2022-08-23	data/stadt_hamburg/txt_par/simple_12.txt_par	data/stadt_hamburg/txt_par/complex_12.txt_par
stadt_hamburg	https://www.hamburg.de/barrierefrei/leichte-sprache/freizeit/15623926/musical-shuttle/	https://www.hamburg.de/koenig-der-loewen/1774356/shuttle-service-theater-im-hafen/	A1	C2	data/stadt_hamburg/html/simple_13.html	data/stadt_hamburg/html/complex_13.html	data/stadt_hamburg/txt/simple_13.txt	data/stadt_hamburg/txt/complex_13.txt				So kommen Sie mit dem Boot zum König der Löwen - Leichte Sprache - hamburg.de	Shuttle-Service Theater im Hafen - hamburg.de	copyright reserved. dpa prohibited	2022-08-23	data/stadt_hamburg/txt_par/simple_13.txt_par	data/stadt_hamburg/txt_par/complex_13.txt_par
stadt_hamburg	https://www.hamburg.de/barrierefrei/leichte-sprache/freizeit/15623926/musical-shuttle/	https://www.hamburg.de/koenig-der-loewen/1774356/shuttle-service-theater-im-hafen/	A1	C2	data/stadt_hamburg/html/simple_14.html	data/stadt_hamburg/html/complex_14.html	data/stadt_hamburg/txt/simple_14.txt	data/stadt_hamburg/txt/complex_14.txt				So kommen Sie mit dem Boot zum König der Löwen - Leichte Sprache - hamburg.de	Shuttle-Service Theater im Hafen - hamburg.de	copyright reserved. dpa prohibited	2022-08-23	data/stadt_hamburg/txt_par/simple_14.txt_par	data/stadt_hamburg/txt_par/complex_14.txt_par
stadt_hamburg	https://www.hamburg.de/barrierefrei/leichte-sprache/freizeit/15617484/landungsbruecken/	https://www.hamburg.de/landungsbruecken/	A1	C2	data/stadt_hamburg/html/simple_15.html	data/stadt_hamburg/html/complex_15.html	data/stadt_hamburg/txt/simple_15.txt	data/stadt_hamburg/txt/complex_15.txt				Die Landungs-Brücken in St. Pauli - Leichte Sprache - hamburg.de	Landungsbrücken Hamburg Hafen - hamburg.de	copyright reserved. dpa prohibited	2022-08-23	data/stadt_hamburg/txt_par/simple_15.txt_par	data/stadt_hamburg/txt_par/complex_15.txt_par
stadt_hamburg	https://www.hamburg.de/barrierefrei/leichte-sprache/freizeit/15617484/landungsbruecken/	https://www.hamburg.de/landungsbruecken/	A1	C2	data/stadt_hamburg/html/simple_16.html	data/stadt_hamburg/html/complex_16.html	data/stadt_hamburg/txt/simple_16.txt	data/stadt_hamburg/txt/complex_16.txt				Die Landungs-Brücken in St. Pauli - Leichte Sprache - hamburg.de	Landungsbrücken Hamburg Hafen - hamburg.de	copyright reserved. dpa prohibited	2022-08-23	data/stadt_hamburg/txt_par/simple_16.txt_par	data/stadt_hamburg/txt_par/complex_16.txt_par
stadt_hamburg	https://www.hamburg.de/barrierefrei/leichte-sprache/freizeit/15617388/die-speicherstadt/	https://www.hamburg.de/sehenswuerdigkeiten/4511364/speicherstadt/	A1	C2	data/stadt_hamburg/html/simple_17.html	data/stadt_hamburg/html/complex_17.html	data/stadt_hamburg/txt/simple_17.txt	data/stadt_hamburg/txt/complex_17.txt				Die Speicher-Stadt in Hamburg-Leichte Sprache - hamburg.de	Speicherstadt Hamburg - Adresse, Bilder, Informationen - hamburg.de	copyright reserved. dpa prohibited	2022-08-23	data/stadt_hamburg/txt_par/simple_17.txt_par	data/stadt_hamburg/txt_par/complex_17.txt_par
